,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
56,KVO,1.3013,2.2775,20,1,0.9762,1.2907,2.2872,179.99614284134253,0.9964999999999999,1.2884,2.289,179.98337533611956,38.915098296657256,1.0006000000000002,0.020299999999999985,-0.010599999999999943,0.009700000000000042,0.0244000000000002,-0.012899999999999912,0.011500000000000288
57,LaAlO,7.1818,12.0899,20,1,4.9081,7.1781,12.0904,179.9852410104162,4.912300000000001,6.9073,12.2421,169.63834813397662,165.6662636339468,5.3348,0.00420000000000087,-0.0037000000000002586,0.0005000000000006111,0.4267000000000003,-0.27449999999999974,0.15220000000000056
58,LaGaO,6.1462,10.9227,20,1,4.7765,6.0009,10.7807,157.63733694137397,4.7798,5.5443,11.1213,157.4965866721322,156.00494537725217,5.577,0.0032999999999994145,-0.14530000000000065,-0.14200000000000124,0.8004999999999995,-0.6019000000000005,0.198599999999999
59,LaInO,6.6841,9.9196,20,1,3.235500000000001,6.2204,10.272,143.57471678548103,4.0516000000000005,5.395,9.7828,143.52334046371163,140.75985651068657,4.3878,0.8160999999999996,-0.4637000000000002,0.3523999999999994,1.1522999999999994,-1.2891000000000004,-0.13680000000000092
60,LaTlO,6.9055,7.8104,20,1,0.9048999999999996,6.2962,7.4616,139.03896860784366,1.1654,5.1578,7.1742,138.71514847892334,133.70056645430546,2.0164,0.2605000000000004,-0.6093000000000002,-0.3487999999999998,1.1115000000000004,-1.7477,-0.6361999999999997
61,LiAsO,2.8886,1.9314,20,1,-0.9571999999999998,3.1473,4.8716,147.05805743588706,1.7243,2.8545,6.2446,141.79093160223584,141.4484535032216,3.3901000000000003,2.6814999999999998,0.25870000000000015,2.9402,4.347300000000001,-0.03410000000000002,4.3132
62,LiNbO,0.3809,3.2506,20,1,2.8697,0.6970000000000001,3.6562,145.96545859593638,2.9592,0.6232,4.2927,140.95851531427115,142.59392487750947,3.6695,0.08950000000000014,0.31610000000000005,0.4056000000000002,0.7998000000000003,0.24229999999999996,1.0421
63,LiPO,5.665,7.5553,20,1,1.8902999999999999,5.7559,9.5538,151.64970202094392,3.797900000000001,5.2257,10.8076,147.06497920122987,147.02620780140006,5.581900000000001,1.9076000000000013,0.09089999999999954,1.9985000000000008,3.691600000000001,-0.43930000000000025,3.252300000000001
64,LiSbO,2.8723,4.0159,20,1,1.1436000000000002,3.2775,5.7975,144.7167734835225,2.5200000000000005,3.4315,7.0486,137.79929861004686,138.114687706706,3.6171,1.3764000000000003,0.4051999999999998,1.7816,2.4735,0.5592000000000001,3.0327
65,LiTaO,0.6051,4.3503,20,1,3.7451999999999996,0.9058,4.7224,147.33776712929262,3.8166,0.7805,5.4812,141.7873893422339,142.83181117105514,4.7007,0.07140000000000057,0.3007000000000001,0.37210000000000054,0.9555000000000007,0.1754,1.1309000000000005
